spermatid_differentiation                                            ,spermatid_development                                                ,apical_tubulobulbar_complex                                          ,spermatid_nucleus_elongation                                         ,spermatocyte_division                                                ,sperm_D_condensation                                               ,concave_side_of_sperm_head                                           ,apical_ectoplasmic_specialization                                    ,sperm_head                                                           ,tubulobulbar_complex                                                 ,sperm_flagellum                                                      ,sperm_cytoplasmic_droplet                                            ,manchette                                                            ,sperm_individualization                                              ,acrosome_assembly                                                    
Cfap44,Tbpl1,,,,,,,,,Ccdc38,,,,
Catsper2,Ccdc38,,,,,,,,,Cd52,,,,
Armc2,Pla2g3,,,,,,,,,Ttll8,,,,
Tarbp2,Brip1,,,,,,,,,Cfap65,,,,
Sox30,Sppl2c,,,,,,,,,Fsip2,,,,
Tdrd5,Rimbp3,,,,,,,,,Dynlt4,,,,
Tcp11,Pebp1,,,,,,,,,Pcdh11x,,,,
Adad1,Cib1,,,,,,,,,Odf4,,,,
Ift88,Cfap65,,,,,,,,,Cul3,,,,
Tnp1,Fsip2,,,,,,,,,Nherf1,,,,
Tnp2,Garin1a,,,,,,,,,Cfap251,,,,
Rsph1,Ropn1l,,,,,,,,,Catsperb,,,,
Tssk1,Ift56,,,,,,,,,Vps13a,,,,
Tssk2,Chd5,,,,,,,,,Atp1a4,,,,
Ube2b,Catsperb,,,,,,,,,Ssxb3,,,,
Vdac3,Ccdc42,,,,,,,,,Spaca5,,,,
Xlr,Nsun2,,,,,,,,,Grk3,,,,
Xlr3a,Ddx25,,,,,,,,,Catsperg1,,,,
Xlr3c,H2bc1,,,,,,,,,Spef2,,,,
Cfap221,Fndc3a,,,,,,,,,Spata33,,,,
Zfp42,Ttll1,,,,,,,,,Dh2,,,,
Zfy2,Ttll5,,,,,,,,,Catsper4,,,,
Cfap157,Spef2,,,,,,,,,Saxo2,,,,
Eif4g3,Dpy19l2,,,,,,,,,Aldoart1,,,,
Tmem119,Rse9,,,,,,,,,Defb37,,,,
Tmf1,Svs3b,,,,,,,,,Slirp,,,,
Ccdc136,Catsper4,,,,,,,,,Tmem232,,,,
Klc3,Ccdc63,,,,,,,,,Spata6l,,,,
Ttc12,Garin1b,,,,,,,,,Cfap58,,,,
Alms1,Bsph1,,,,,,,,,Atp2b4,,,,
Tbpl1,Drc7,,,,,,,,,Spag6,,,,
Ccdc38,Fnd3c2,,,,,,,,,Slc22a14,,,,
Pla2g3,Fndc3c1,,,,,,,,,Ssxb13,,,,
Brip1,Defb37,,,,,,,,,Ssxb10,,,,
Sppl2c,Cfap54,,,,,,,,,Ssxb5,,,,
Ccnb1ip1,Gm20736,,,,,,,,,Di2,,,,
Rimbp3,Cfap58,,,,,,,,,Akap14,,,,
Pebp1,Spag6,,,,,,,,,Spag6l,,,,
Cib1,Slc22a14,,,,,,,,,Oaz3,,,,
Ythdc2,Gm1140,,,,,,,,,Cfap74,,,,
Cfap65,Gm5168,,,,,,,,,Catspere2,,,,
Fsip2,Gm5169,,,,,,,,,Abhd2,,,,
Garin1a,Pfn4,,,,,,,,,Ssxb15,,,,
Vps54,Spag6l,,,,,,,,,Gabarap,,,,
Ropn1l,Zpbp,,,,,,,,,Pmfbp1,,,,
Ift56,Tuba8,,,,,,,,,Septin6,,,,
Meioc,Semg1,,,,,,,,,Fscb,,,,
Chd5,Acrbp,,,,,,,,,Ssxb14,,,,
Spo11,Catspere2,,,,,,,,,Ssxb8,,,,
Xlr4b,Abhd2,,,,,,,,,Catspere1,,,,
Xlr5c,Gm5934,,,,,,,,,Cfap47,,,,
Catsperb,Gm5935,,,,,,,,,Tmem249,,,,
Insl6,Cfap73,,,,,,,,,Spag16,,,,
Ccdc42,Fscn3,,,,,,,,,Ssxb6,,,,
Nsun2,Ube2j1,,,,,,,,,Ift27,,,,
Rnf17,Rec8,,,,,,,,,Catsperz,,,,
Ddx25,Zmynd15,,,,,,,,,Txndc8,,,,
H2bc1,Xlr3b,,,,,,,,,Ift172,,,,
Fndc3a,Tssk3,,,,,,,,,Spata6,,,,
Ttll1,Gm6121,,,,,,,,,Tomm20,,,,
Ttll5,Xlr5b,,,,,,,,,Ssxb1,,,,
Spef2,Catspere1,,,,,,,,,Ccdc34,,,,
Dpy19l2,Cfap47,,,,,,,,,Efcab2,,,,
Rse9,Iqcn,,,,,,,,,Dcdc2c,,,,
Svs3b,Svs3a,,,,,,,,,Rabl2,,,,
Catsper4,Slx,,,,,,,,,Ak8,,,,
Ccdc63,Dzip1,,,,,,,,,Lyzl4,,,,
Garin1b,Vps13b,,,,,,,,,Glipr1l1,,,,
Bsph1,Klhl10,,,,,,,,,Cimap1a,,,,
Drc7,Spag16,,,,,,,,,Efcab9,,,,
Gm773,Catsperz,,,,,,,,,Pacrg,,,,
Fnd3c2,Tbc1d20,,,,,,,,,Djb13,,,,
Fndc3c1,Jam2,,,,,,,,,Lyzl6,,,,
Defb37,Bbs2,,,,,,,,,Iqcg,,,,
Cfap54,Armc12,,,,,,,,,Dh17,,,,
Slirp,Spaca1,,,,,,,,,Spaca9,,,,
Gm20736,Eqtn,,,,,,,,,Tekt5,,,,
Cfap58,Galntl5,,,,,,,,,Garin2,,,,
Spag6,H2al2a,,,,,,,,,Cabs1,,,,
Slc22a14,Pygo2,,,,,,,,,Tekt3,,,,
Gm1140,Ing2,,,,,,,,,Septin12,,,,
Gm5168,Efcab9,,,,,,,,,Tssk4,,,,
Gm5169,Pacrg,,,,,,,,,Cabyr,,,,
Sly,Cfap206,,,,,,,,,Enkur,,,,
Pfn4,Zpbp2,,,,,,,,,Tekt4,,,,
Xlr4a,Actl9,,,,,,,,,Tcp11x2,,,,
Spag6l,Iqcg,,,,,,,,,Cabcoco1,,,,
Tnk2,Spink2,,,,,,,,,Ttc29,,,,
Ybx2,H1f7,,,,,,,,,Cimip4,,,,
Zpbp,Ica1l,,,,,,,,,Nme8,,,,
Tuba8,3830403N18Rik,,,,,,,,,C2cd6,,,,
Semg1,Spata16,,,,,,,,,Rnf38,,,,
Nphp1,Tssk4,,,,,,,,,Spata18,,,,
Acrbp,Cabyr,,,,,,,,,Spmip6,,,,
Catspere2,Pdilt,,,,,,,,,Tbc1d21,,,,
Abhd2,Tcp11x2,,,,,,,,,Slc9b1,,,,
Gm5934,Pygo1,,,,,,,,,Cfap53,,,,
Gm5935,Gm20870,,,,,,,,,Drc3,,,,
Cfap73,C2cd6,,,,,,,,,Ptchd3,,,,
Fscn3,Ddias,,,,,,,,,Wbp2nl,,,,
Ube2j1,Ttc21a,,,,,,,,,Ccdc181,,,,
Adrm1,Septin14,,,,,,,,,Ct55,,,,
Rec8,Iqcf1,,,,,,,,,Cep128,,,,
Zmynd15,Tbc1d21,,,,,,,,,Spata19,,,,
Xlr3b,Spem1,,,,,,,,,Morn5,,,,
Xlr5a,Osbp2,,,,,,,,,Nme5,,,,
Piwil1,Cep57,,,,,,,,,Dli1,,,,
Rnf8,Spag17,,,,,,,,,Rsph9,,,,
Tssk3,Slxl1,,,,,,,,,Spaca3,,,,
Mkks,Cep128,,,,,,,,,Ccdc172,,,,
Fancg,Cfap97d1,,,,,,,,,Saxo1,,,,
Gm6121,Nme5,,,,,,,,,Ropn1,,,,
Xlr5b,Ropn1,,,,,,,,,Sun5,,,,
Catspere1,Sun5,,,,,,,,,Spatc1l,,,,
Rbm46,Fam209,,,,,,,,,Cfap70,,,,
Cfap47,Catsper3,,,,,,,,,Catsperg2,,,,
Iqcn,Slc9a8,,,,,,,,,Atg16l1,,,,
Svs3a,Axdnd1,,,,,,,,,Dnhd1,,,,
Tbata,Spinkl,,,,,,,,,Cst11,,,,
Pithd1,Dnhd1,,,,,,,,,Cfap61,,,,
Slx,Nup210l,,,,,,,,,Rsph6a,,,,
Dzip1,Bsph2,,,,,,,,,Usp26,,,,
Vps13b,Hook1,,,,,,,,,Slc9b2,,,,
Klhl10,Sbf1,,,,,,,,,,,,,
Spag16,Cfap61,,,,,,,,,,,,,
Catsperz,Rsph6a,,,,,,,,,,,,,
Tbc1d20,Tssk6,,,,,,,,,,,,,
Jam2,Selenof,,,,,,,,,,,,,
Bbs2,Gopc,,,,,,,,,,,,,
Armc12,,,,,,,,,,,,,,
Spaca1,,,,,,,,,,,,,,
Eqtn,,,,,,,,,,,,,,
Galntl5,,,,,,,,,,,,,,
H2al2a,,,,,,,,,,,,,,
Pygo2,,,,,,,,,,,,,,
Ing2,,,,,,,,,,,,,,
Efcab9,,,,,,,,,,,,,,
Pacrg,,,,,,,,,,,,,,
Cfap206,,,,,,,,,,,,,,
Zpbp2,,,,,,,,,,,,,,
Actl9,,,,,,,,,,,,,,
Iqcg,,,,,,,,,,,,,,
Trip13,,,,,,,,,,,,,,
Spink2,,,,,,,,,,,,,,
H1f7,,,,,,,,,,,,,,
Ica1l,,,,,,,,,,,,,,
3830403N18Rik,,,,,,,,,,,,,,
Spata16,,,,,,,,,,,,,,
Tssk4,,,,,,,,,,,,,,
Cabyr,,,,,,,,,,,,,,
Dmrtc2,,,,,,,,,,,,,,
Pdilt,,,,,,,,,,,,,,
Tcp11x2,,,,,,,,,,,,,,
Pygo1,,,,,,,,,,,,,,
Xlr4c,,,,,,,,,,,,,,
Gm20870,,,,,,,,,,,,,,
C2cd6,,,,,,,,,,,,,,
Ddias,,,,,,,,,,,,,,
Ttc21a,,,,,,,,,,,,,,
Septin14,,,,,,,,,,,,,,
Iqcf1,,,,,,,,,,,,,,
Tbc1d21,,,,,,,,,,,,,,
Spem1,,,,,,,,,,,,,,
Osbp2,,,,,,,,,,,,,,
Cep57,,,,,,,,,,,,,,
Spag17,,,,,,,,,,,,,,
Mei1,,,,,,,,,,,,,,
Pank2,,,,,,,,,,,,,,
Taf7l,,,,,,,,,,,,,,
Slxl1,,,,,,,,,,,,,,
Cep128,,,,,,,,,,,,,,
Cfap97d1,,,,,,,,,,,,,,
1700013H16Rik,,,,,,,,,,,,,,
Nme5,,,,,,,,,,,,,,
Adad2,,,,,,,,,,,,,,
Ropn1,,,,,,,,,,,,,,
Sun5,,,,,,,,,,,,,,
Fam209,,,,,,,,,,,,,,
Catsper3,,,,,,,,,,,,,,
Rhbdd1,,,,,,,,,,,,,,
Slc9a8,,,,,,,,,,,,,,
Yif1b,,,,,,,,,,,,,,
Axdnd1,,,,,,,,,,,,,,
Spinkl,,,,,,,,,,,,,,
Dnhd1,,,,,,,,,,,,,,
Nup210l,,,,,,,,,,,,,,
Bsph2,,,,,,,,,,,,,,
Hook1,,,,,,,,,,,,,,
Sbf1,,,,,,,,,,,,,,
Cfap61,,,,,,,,,,,,,,
Kat5,,,,,,,,,,,,,,
Rsph6a,,,,,,,,,,,,,,
Jam3,,,,,,,,,,,,,,
Tssk6,,,,,,,,,,,,,,
Selenof,,,,,,,,,,,,,,
Aff4,,,,,,,,,,,,,,
Gopc,,,,,,,,,,,,,,
Hmgb2,,,,,,,,,,,,,,
