spermatogonia,meiosis prophase I,spermatid development,Sertoli_cell_GOtermSertoli cell development,ARTICLE:Meiotic Silencing in Mammals,piRNA process (GO+ARTICLE),genes on chr X and Y,,
Hsd17b10,,Odf4,,,,Fam120c,,
Igfbp2,,Pacrg,,,,Tsr2,,
Irf2bpl,,Pafah1b1,,,,Fgd1,,
Kif26a,,Pde1a,,,,Gnl3l,,
Klf11,,Pfkm,,,,Maged2,,
Klf7,,Pfn4,,,,Apex2,,
Kmt2a,,Pgk2,,,,Alas2,,
Ldb1,,Plcz1,,,,Pfkfb1,,
Lin28a,,Pln,,,,Tro,,
Lman1,,Pmfbp1,,,,Sat1,,
Lmo1,,Ppp1r42,,,,Acot9,,
Lonrf3,,Ppp3cc,,,,4933436I01Rik,,
Lrr1,,Ppp3r2,,,,Prdx4,,
Mafg,,Prkaca,,,,Kdm5c,,
Map7d2,,Prkar1a,,,,Gpr143,,
Mbnl3,,Rabl2,,,,Apool,,
Mcm2,,Ran,,,,Satl1,,
Mcm3,,Rnf38,,,,Zfp711,,
Mex3a,,Ropn1,,,,Chm,,
Mfge8,,Rsph6a,,,,Dach2,,
Mmd,,Rsph9,,,,Klhl4,,
Myh6,,Saxo1,,,,Phf6,,
Myo1b,,Saxo2,,,,Hprt,,
Nanos1,,Sec23ip,,,,Arhgef9,,
Ndrg4,,Slc22a14,,,,Cnksr2,,
Nme4,,Slc26a8,,,,Rps6ka6,,
Noc2l,,Slc9b1,,,,Tmem47,,
Nr2f6,,Slirp,,,,Prps2,,
Nt5dc2,,Sox30,,,,Xiap,,
Nudt17,,Spa17,,,,Stag2,,
Ostf1,,Spaca1,,,,Atp6ap2,,
P3h3,,Spaca3,,,,Usp9x,,
Patz1,,Spaca5,,,,Cask,,
Polr2h,,Spag16,,,,Ndufb11,,
Pop1,,Spag17,,,,Rbm10,,
Ppdpf,,Spag6,,,,Cdk16,,
Ppp1ca,,Spag6l,,,,Usp11,,
Pprc1,,Spata18,,,,Zfp300,,
Pramef12,,Spata19,,,,Slc6a14,,
Prr5,,Spata33,,,,Dock11,,
Prtg,,Spata6,,,,Cul4b,,
Psme1,,Spatc1l,,,,Smarca1,,
Psme2,,Spef2,,,,Sash3,,
Rab26os,,Spem1,,,,Elf4,,
Rbmx2,,Spink2,,,,Rab33a,,
Rbp4,,Sppl2c,,,,Slc25a14,,
Rcan3,,Ssxb1,,,,Rbmx2,,
Rcor2,,Ssxb3,,,,Enox2,,
Rhox10,,Ssxb6,,,,Igsf1,,
Rhox13,,Sun5,,,,Stk26,,
Rock2,,Tbc1d20,,,,Magea14,,
Rpa2,,Tbc1d21,,,,Gpc4,,
Rpl36a,,Tbpl1,,,,3830403N18Rik,,
Rpl39,,Tcp11,,,,Vgll1,,
Sall4,,Tcte1,,,,Arhgef6,,
Scaf11,,Tekt3,,,,Rbmx,,
Selm,,Tekt4,,,,Fgf13,,
Serpine2,,Tekt5,,,,Mcf2,,
Sertad4,,Tmem232,,,,Cacna1f,,
Sh3bp1,,Tmf1,,,,Syp,,
Sh3glb2,,Tppp2,,,,Prickle3,,
Siah1b,,Tsga10,,,,Plp2,,
Sms,,Tssk4,,,,Magix,,
Snhg11,,Ttc29,,,,Gpkow,,
Snx12,,Ttll3,,,,Praf2,,
Snx16,,Txndc2,,,,Ccdc120,,
Sohlh1,,Txndc8,,,,Gripap1,,
Sox4,,Vdac2,,,,Otud5,,
Spin1,,Vps13a,,,,Pim2,,
Stra8,,Zpbp,,,,Slc35a2,,
Syngr1,,Zpbp2,,,,Pqbp1,,
Taf1,,Cmtm2b,,,,Timm17b,,
Taf7l,,Cmtm2a,,,,Eras,,
Tcf3,,Catspere1,,,,Hdac6,,
Tex11,,Adam2,,,,Gata1,,
Tex13,,Prm2,,,,Glod5,,
Tk1,,Tnp2,,,,Was,,
Tmem14c,,Catspere2,,,,Wdr13,,
Tsc22d3,,Prm1,,,,Rbm3,,
Tubb5,,Adad1,,,,Ebp,,
Uap1l1,,Armc12,,,,Porcn,,
Ubtf,,Catsper3,,,,Slc38a5,,
Vkorc1,,Ccdc62,,,,Ftsj1,,
Vma21,,Ccdc63,,,,Rpgr,,
Zbtb16,,Cdyl,,,,Dynlt3,,
Zfp292,,Cep57,,,,Magea9,,
Zfyve21,,Cfap157,,,,Ctag2,,
Zglp1,,Cfap206,,,,4930447F04Rik,,
Zrsr2,,Cfap43,,,,Aff2,,
Id4,,Cfap44,,,,F8,,
Dazl,,Chd5,,,,Vbp1,,
Bcl6b,,Cib1,,,,Fundc2,,
Piwil4,,Ddias,,,,Mtcp1,,
Scml2,,Ddx25,,,,Brcc3,,
Sohlh2,,Dpy19l2,,,,Rab39b,,
Uchl1,,Dzip1,,,,Asb12,,
Gfra1,,Epc1,,,,Msn,,
Nanos3,,Fndc3a,,,,Heph,,
Neurog3,,Fscn3,,,,Gpr165,,
Etv5,,Fxr1,,,,Pgr15l,,
,,Galntl5,,,,Ophn1,,
,,Gm1993,,,,Stard8,,
,,Gm2012,,,,Efnb1,,
,,Gm6121,,,,Awat2,,
,,Hook1,,,,Igbp1,,
,,Ica1l,,,,Magee2,,
,,Iqcf1,,,,Pbdc1,,
,,Klc3,,,,Magee1,,
,,Klhl10,,,,Atrx,,
,,Nsun2,,,,Fgf16,,
,,Osbp2,,,,Cox7b,,
,,Pcsk4,,,,Magt1,,
,,Pdilt,,,,Itm2a,,
,,Pebp1,,,,Tbx22,,
,,Psme4,,,,2610002M06Rik,,
,,Rec8,,,,Hmgn5,,
,,Rfx2,,,,Sh3bgrl,,
,,Ropn1l,,,,Tnmd,,
,,Slxl1,,,,Srpx2,,
,,Spata16,,,,Sytl4,,
,,Tarbp2,,,,Cstf2,,
,,Tnp1,,,,Nox1,,
,,Tsga8,,,,Xkrx,,
,,Tssk1,,,,Cenpi,,
,,Tssk2,,,,Btk,,
,,Tssk3,,,,Gla,,
,,Tssk6,,,,Serpina7,,
,,Ttc12,,,,Col4a6,,
,,Ttc21a,,,,Col4a5,,
